pathway	Description	p.Val	FDR	Phenotype
GO_POSITIVE_REGULATION_OF_CAMP_DEPENDENT_PROTEIN_KINASE_ACTIVITY	GO_POSITIVE_REGULATION_OF_CAMP_DEPENDENT_PROTEIN_KINASE_ACTIVITY	1	1	1
GO_REGULATION_OF_NATURAL_KILLER_CELL_CHEMOTAXIS	GO_REGULATION_OF_NATURAL_KILLER_CELL_CHEMOTAXIS	1	1	1
GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_CHEMOTAXIS	GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_CHEMOTAXIS	1	1	1
GO_REGULATION_OF_DENDRITIC_CELL_CHEMOTAXIS	GO_REGULATION_OF_DENDRITIC_CELL_CHEMOTAXIS	1	1	1
GO_POSITIVE_REGULATION_OF_GASTRULATION	GO_POSITIVE_REGULATION_OF_GASTRULATION	1	1	1
GO_REGULATION_OF_T_HELPER_2_CELL_CYTOKINE_PRODUCTION	GO_REGULATION_OF_T_HELPER_2_CELL_CYTOKINE_PRODUCTION	1	1	1
GO_POSITIVE_REGULATION_OF_T_HELPER_2_CELL_CYTOKINE_PRODUCTION	GO_POSITIVE_REGULATION_OF_T_HELPER_2_CELL_CYTOKINE_PRODUCTION	1	1	1
GO_REGULATION_OF_T_HELPER_1_CELL_CYTOKINE_PRODUCTION	GO_REGULATION_OF_T_HELPER_1_CELL_CYTOKINE_PRODUCTION	1	1	1
GO_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION	GO_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION	1	1	1
GO_REGULATION_OF_MICROTUBULE_MOTOR_ACTIVITY	GO_REGULATION_OF_MICROTUBULE_MOTOR_ACTIVITY	1	1	1
GO_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_ALPHA_SIGNALING_PATHWAY	GO_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_ALPHA_SIGNALING_PATHWAY	1	1	1
GO_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BETA_SIGNALING_PATHWAY	GO_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BETA_SIGNALING_PATHWAY	1	1	1
GO_POSITIVE_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	GO_POSITIVE_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	1	1	1
GO_REGULATION_OF_THYROID_HORMONE_GENERATION	GO_REGULATION_OF_THYROID_HORMONE_GENERATION	1	1	1
GO_POSITIVE_REGULATION_OF_HISTONE_H3_K9_ACETYLATION	GO_POSITIVE_REGULATION_OF_HISTONE_H3_K9_ACETYLATION	1	1	1
GO_REGULATION_OF_HISTONE_H4_K16_ACETYLATION	GO_REGULATION_OF_HISTONE_H4_K16_ACETYLATION	1	1	1
GO_REGULATION_OF_MIRNA_METABOLIC_PROCESS	GO_REGULATION_OF_MIRNA_METABOLIC_PROCESS	1	1	1
GO_POSITIVE_REGULATION_OF_EARLY_ENDOSOME_TO_LATE_ENDOSOME_TRANSPORT	GO_POSITIVE_REGULATION_OF_EARLY_ENDOSOME_TO_LATE_ENDOSOME_TRANSPORT	1	1	1
GO_POSITIVE_REGULATION_OF_RECEPTOR_CATABOLIC_PROCESS	GO_POSITIVE_REGULATION_OF_RECEPTOR_CATABOLIC_PROCESS	1	1	1
GO_REGULATION_OF_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY	GO_REGULATION_OF_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY	1	1	1
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY	GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY	1	1	1
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_5_SECRETION	GO_POSITIVE_REGULATION_OF_INTERLEUKIN_5_SECRETION	1	1	1
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_13_SECRETION	GO_POSITIVE_REGULATION_OF_INTERLEUKIN_13_SECRETION	1	1	1
GO_NEGATIVE_REGULATION_OF_DENDRITIC_CELL_APOPTOTIC_PROCESS	GO_NEGATIVE_REGULATION_OF_DENDRITIC_CELL_APOPTOTIC_PROCESS	1	1	1
GO_REGULATION_OF_MOTOR_NEURON_APOPTOTIC_PROCESS	GO_REGULATION_OF_MOTOR_NEURON_APOPTOTIC_PROCESS	1	1	1
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	1	1	1
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	1	1	1
GO_REGULATION_OF_CARDIAC_VASCULAR_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	GO_REGULATION_OF_CARDIAC_VASCULAR_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	1	1	1
GO_POSITIVE_REGULATION_OF_CARDIAC_VASCULAR_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	GO_POSITIVE_REGULATION_OF_CARDIAC_VASCULAR_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	1	1	1
GO_REGULATION_OF_MESENCHYMAL_STEM_CELL_DIFFERENTIATION	GO_REGULATION_OF_MESENCHYMAL_STEM_CELL_DIFFERENTIATION	1	1	1
GO_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	GO_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	1	1	1
GO_NEGATIVE_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	GO_NEGATIVE_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	1	1	1
GO_POSITIVE_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	GO_POSITIVE_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	1	1	1
GO_NEGATIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION	GO_NEGATIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION	1	1	1
GO_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION	GO_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION	1	1	1
GO_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR	GO_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR	1	1	1
GO_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_LUNG_MORPHOGENESIS	GO_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_LUNG_MORPHOGENESIS	1	1	1
GO_REGULATION_OF_SYNAPTIC_VESICLE_CLUSTERING	GO_REGULATION_OF_SYNAPTIC_VESICLE_CLUSTERING	1	1	1
GO_POSITIVE_REGULATION_OF_SYNAPTIC_VESICLE_CLUSTERING	GO_POSITIVE_REGULATION_OF_SYNAPTIC_VESICLE_CLUSTERING	1	1	1
GO_NEGATIVE_REGULATION_OF_MYOBLAST_PROLIFERATION	GO_NEGATIVE_REGULATION_OF_MYOBLAST_PROLIFERATION	1	1	1
GO_POSITIVE_REGULATION_OF_STEROID_HORMONE_SECRETION	GO_POSITIVE_REGULATION_OF_STEROID_HORMONE_SECRETION	1	1	1
GO_POSITIVE_REGULATION_OF_CORTICOSTEROID_HORMONE_SECRETION	GO_POSITIVE_REGULATION_OF_CORTICOSTEROID_HORMONE_SECRETION	1	1	1
GO_POSITIVE_REGULATION_OF_GLUCOCORTICOID_SECRETION	GO_POSITIVE_REGULATION_OF_GLUCOCORTICOID_SECRETION	1	1	1
GO_POSITIVE_REGULATION_OF_AMPA_RECEPTOR_ACTIVITY	GO_POSITIVE_REGULATION_OF_AMPA_RECEPTOR_ACTIVITY	1	1	1
GO_NEGATIVE_REGULATION_OF_SKELETAL_MUSCLE_CELL_DIFFERENTIATION	GO_NEGATIVE_REGULATION_OF_SKELETAL_MUSCLE_CELL_DIFFERENTIATION	1	1	1
GO_POSITIVE_REGULATION_OF_SKELETAL_MUSCLE_CELL_DIFFERENTIATION	GO_POSITIVE_REGULATION_OF_SKELETAL_MUSCLE_CELL_DIFFERENTIATION	1	1	1
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_DRUG	GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_DRUG	1	1	1
GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	1	1	1
GO_NEGATIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	GO_NEGATIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	1	1	1
GO_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	GO_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	1	1	1
GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_DRUG	GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_DRUG	1	1	1
GO_POSITIVE_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	GO_POSITIVE_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	1	1	1
GO_NEGATIVE_REGULATION_OF_MESENCHYMAL_CELL_APOPTOTIC_PROCESS	GO_NEGATIVE_REGULATION_OF_MESENCHYMAL_CELL_APOPTOTIC_PROCESS	1	1	1
GO_POSITIVE_REGULATION_OF_PHOSPHOLIPID_TRANSPORT	GO_POSITIVE_REGULATION_OF_PHOSPHOLIPID_TRANSPORT	1	1	1
GO_REGULATION_OF_HISTONE_H2B_UBIQUITINATION	GO_REGULATION_OF_HISTONE_H2B_UBIQUITINATION	1	1	1
GO_REGULATION_OF_ATP_BIOSYNTHETIC_PROCESS	GO_REGULATION_OF_ATP_BIOSYNTHETIC_PROCESS	1	1	1
GO_POSITIVE_REGULATION_OF_ATP_BIOSYNTHETIC_PROCESS	GO_POSITIVE_REGULATION_OF_ATP_BIOSYNTHETIC_PROCESS	1	1	1
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_10_SECRETION	GO_POSITIVE_REGULATION_OF_INTERLEUKIN_10_SECRETION	1	1	1
GO_REGULATION_OF_INTERLEUKIN_12_SECRETION	GO_REGULATION_OF_INTERLEUKIN_12_SECRETION	1	1	1
GO_NEGATIVE_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	GO_NEGATIVE_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	1	1	1
GO_NEGATIVE_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION	GO_NEGATIVE_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION	1	1	1
GO_REGULATION_OF_OSTEOCLAST_DEVELOPMENT	GO_REGULATION_OF_OSTEOCLAST_DEVELOPMENT	1	1	1
GO_NEGATIVE_REGULATION_OF_OSTEOCLAST_DEVELOPMENT	GO_NEGATIVE_REGULATION_OF_OSTEOCLAST_DEVELOPMENT	1	1	1
GO_POSITIVE_REGULATION_OF_OSTEOCLAST_DEVELOPMENT	GO_POSITIVE_REGULATION_OF_OSTEOCLAST_DEVELOPMENT	1	1	1
GO_POSITIVE_REGULATION_OF_VASCULOGENESIS	GO_POSITIVE_REGULATION_OF_VASCULOGENESIS	1	1	1
GO_NEGATIVE_REGULATION_OF_NEURON_MIGRATION	GO_NEGATIVE_REGULATION_OF_NEURON_MIGRATION	1	1	1
GO_REGULATION_OF_CHLORIDE_TRANSPORT	GO_REGULATION_OF_CHLORIDE_TRANSPORT	1	1	1
GO_REGULATION_OF_STORE_OPERATED_CALCIUM_ENTRY	GO_REGULATION_OF_STORE_OPERATED_CALCIUM_ENTRY	1	1	1
GO_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS	GO_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS	1	1	1
GO_REGULATION_OF_CAVEOLIN_MEDIATED_ENDOCYTOSIS	GO_REGULATION_OF_CAVEOLIN_MEDIATED_ENDOCYTOSIS	1	1	1
GO_CITRULLINE_METABOLIC_PROCESS	GO_CITRULLINE_METABOLIC_PROCESS	1	1	1
GO_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	GO_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	1	1	1
GO_PEPTIDOGLYCAN_METABOLIC_PROCESS	GO_PEPTIDOGLYCAN_METABOLIC_PROCESS	1	1	1
GO_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	GO_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	1	1	1
GO_GANGLIOSIDE_METABOLIC_PROCESS	GO_GANGLIOSIDE_METABOLIC_PROCESS	1	1	1
GO_RENAL_RESPONSE_TO_BLOOD_FLOW_INVOLVED_IN_CIRCULATORY_RENIN_ANGIOTENSIN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	GO_RENAL_RESPONSE_TO_BLOOD_FLOW_INVOLVED_IN_CIRCULATORY_RENIN_ANGIOTENSIN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	1	1	1
GO_INHIBITION_OF_NEUROEPITHELIAL_CELL_DIFFERENTIATION	GO_INHIBITION_OF_NEUROEPITHELIAL_CELL_DIFFERENTIATION	1	1	1
GO_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE	GO_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE	1	1	1
GO_T_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	GO_T_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	1	1	1
GO_MYELOID_DENDRITIC_CELL_CYTOKINE_PRODUCTION	GO_MYELOID_DENDRITIC_CELL_CYTOKINE_PRODUCTION	1	1	1
GO_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX	GO_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX	1	1	1
GO_REGULATION_OF_CYTOKINE_SECRETION_INVOLVED_IN_IMMUNE_RESPONSE	GO_REGULATION_OF_CYTOKINE_SECRETION_INVOLVED_IN_IMMUNE_RESPONSE	1	1	1
GO_UDP_GLUCOSE_METABOLIC_PROCESS	GO_UDP_GLUCOSE_METABOLIC_PROCESS	1	1	1
GO_N_ACETYLNEURAMINATE_METABOLIC_PROCESS	GO_N_ACETYLNEURAMINATE_METABOLIC_PROCESS	1	1	1
GO_ETHANOL_METABOLIC_PROCESS	GO_ETHANOL_METABOLIC_PROCESS	1	1	1
GO_ETHANOL_CATABOLIC_PROCESS	GO_ETHANOL_CATABOLIC_PROCESS	1	1	1
GO_GLYCEROL_3_PHOSPHATE_METABOLIC_PROCESS	GO_GLYCEROL_3_PHOSPHATE_METABOLIC_PROCESS	1	1	1
GO_CITRATE_METABOLIC_PROCESS	GO_CITRATE_METABOLIC_PROCESS	1	1	1
GO_FERMENTATION	GO_FERMENTATION	1	1	1
GO_NUCLEOTIDE_EXCISION_REPAIR_DNA_INCISION_3_TO_LESION	GO_NUCLEOTIDE_EXCISION_REPAIR_DNA_INCISION_3_TO_LESION	1	1	1
GO_GPI_ANCHOR_METABOLIC_PROCESS	GO_GPI_ANCHOR_METABOLIC_PROCESS	1	1	1
GO_HISTIDINE_METABOLIC_PROCESS	GO_HISTIDINE_METABOLIC_PROCESS	1	1	1
GO_LEUCINE_METABOLIC_PROCESS	GO_LEUCINE_METABOLIC_PROCESS	1	1	1
GO_LYSINE_METABOLIC_PROCESS	GO_LYSINE_METABOLIC_PROCESS	1	1	1
GO_PROLINE_METABOLIC_PROCESS	GO_PROLINE_METABOLIC_PROCESS	1	1	1
GO_THREONINE_METABOLIC_PROCESS	GO_THREONINE_METABOLIC_PROCESS	1	1	1
GO_VALINE_METABOLIC_PROCESS	GO_VALINE_METABOLIC_PROCESS	1	1	1
GO_MELANIN_METABOLIC_PROCESS	GO_MELANIN_METABOLIC_PROCESS	1	1	1
GO_INDOLALKYLAMINE_METABOLIC_PROCESS	GO_INDOLALKYLAMINE_METABOLIC_PROCESS	1	1	1
GO_ORNITHINE_METABOLIC_PROCESS	GO_ORNITHINE_METABOLIC_PROCESS	1	1	1
GO_PHOSPHAGEN_METABOLIC_PROCESS	GO_PHOSPHAGEN_METABOLIC_PROCESS	1	1	1
GO_SPHINGOSINE_METABOLIC_PROCESS	GO_SPHINGOSINE_METABOLIC_PROCESS	1	1	1
GO_GLYCOSYLCERAMIDE_METABOLIC_PROCESS	GO_GLYCOSYLCERAMIDE_METABOLIC_PROCESS	1	1	1
GO_GLUCOSYLCERAMIDE_METABOLIC_PROCESS	GO_GLUCOSYLCERAMIDE_METABOLIC_PROCESS	1	1	1
GO_OXIDOREDUCTION_COENZYME_METABOLIC_PROCESS	GO_OXIDOREDUCTION_COENZYME_METABOLIC_PROCESS	1	1	1
GO_NADPH_REGENERATION	GO_NADPH_REGENERATION	1	1	1
GO_UBIQUINONE_METABOLIC_PROCESS	GO_UBIQUINONE_METABOLIC_PROCESS	1	1	1
GO_FOLIC_ACID_CONTAINING_COMPOUND_METABOLIC_PROCESS	GO_FOLIC_ACID_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	1	1
GO_POLYPHOSPHATE_METABOLIC_PROCESS	GO_POLYPHOSPHATE_METABOLIC_PROCESS	1	1	1
GO_TRICARBOXYLIC_ACID_TRANSPORT	GO_TRICARBOXYLIC_ACID_TRANSPORT	1	1	1
GO_EXTRACELLULAR_TRANSPORT	GO_EXTRACELLULAR_TRANSPORT	1	1	1
GO_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	GO_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	1	1	1
GO_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	GO_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	1	1	1
GO_ANTEROGRADE_AXONAL_TRANSPORT	GO_ANTEROGRADE_AXONAL_TRANSPORT	1	1	1
GO_ERGOSTEROL_METABOLIC_PROCESS	GO_ERGOSTEROL_METABOLIC_PROCESS	1	1	1
GO_MINERALOCORTICOID_METABOLIC_PROCESS	GO_MINERALOCORTICOID_METABOLIC_PROCESS	1	1	1
GO_SPERMINE_METABOLIC_PROCESS	GO_SPERMINE_METABOLIC_PROCESS	1	1	1
GO_ACETYLCHOLINE_METABOLIC_PROCESS	GO_ACETYLCHOLINE_METABOLIC_PROCESS	1	1	1
GO_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS	GO_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS	1	1	1
GO_DEOXYRIBONUCLEOSIDE_METABOLIC_PROCESS	GO_DEOXYRIBONUCLEOSIDE_METABOLIC_PROCESS	1	1	1
GO_PURINE_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	GO_PURINE_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	1	1	1
GO_PYRIMIDINE_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	GO_PYRIMIDINE_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	1	1	1
GO_PURINE_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS	GO_PURINE_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS	1	1	1
GO_DEOXYRIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	GO_DEOXYRIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	1	1	1
GO_PYRIMIDINE_DEOXYRIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	GO_PYRIMIDINE_DEOXYRIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	1	1	1
GO_DEOXYRIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	GO_DEOXYRIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	1	1	1
GO_RIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	GO_RIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	1	1	1
GO_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	GO_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	1	1	1
GO_PYRIMIDINE_RIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	GO_PYRIMIDINE_RIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	1	1	1
GO_PYRIMIDINE_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	GO_PYRIMIDINE_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	1	1	1
GO_PURINE_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	GO_PURINE_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	1	1	1
GO_PYRIMIDINE_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS	GO_PYRIMIDINE_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS	1	1	1
GO_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GO_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	1	1	1
GO_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS	GO_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS	1	1	1
GO_CARNITINE_METABOLIC_PROCESS	GO_CARNITINE_METABOLIC_PROCESS	1	1	1
GO_METHYLGLYOXAL_METABOLIC_PROCESS	GO_METHYLGLYOXAL_METABOLIC_PROCESS	1	1	1
GO_PUTRESCINE_METABOLIC_PROCESS	GO_PUTRESCINE_METABOLIC_PROCESS	1	1	1
GO_GAMMA_AMINOBUTYRIC_ACID_METABOLIC_PROCESS	GO_GAMMA_AMINOBUTYRIC_ACID_METABOLIC_PROCESS	1	1	1
GO_INTERCELLULAR_TRANSPORT	GO_INTERCELLULAR_TRANSPORT	1	1	1
GO_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS	GO_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS	1	1	1
GO_NEGATIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS	GO_NEGATIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS	1	1	1
GO_POSITIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS	GO_POSITIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS	1	1	1
GO_NEGATIVE_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	GO_NEGATIVE_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	1	1	1
GO_REGULATION_OF_GLUCAN_BIOSYNTHETIC_PROCESS	GO_REGULATION_OF_GLUCAN_BIOSYNTHETIC_PROCESS	1	1	1
GO_ESTABLISHMENT_OF_ENDOTHELIAL_BLOOD_BRAIN_BARRIER	GO_ESTABLISHMENT_OF_ENDOTHELIAL_BLOOD_BRAIN_BARRIER	1	1	1
GO_REGULATION_OF_DOPAMINE_SECRETION	GO_REGULATION_OF_DOPAMINE_SECRETION	1	1	1
GO_SKELETAL_MUSCLE_SATELLITE_CELL_MAINTENANCE_INVOLVED_IN_SKELETAL_MUSCLE_REGENERATION	GO_SKELETAL_MUSCLE_SATELLITE_CELL_MAINTENANCE_INVOLVED_IN_SKELETAL_MUSCLE_REGENERATION	1	1	1
GO_SKELETAL_MUSCLE_SATELLITE_CELL_PROLIFERATION	GO_SKELETAL_MUSCLE_SATELLITE_CELL_PROLIFERATION	1	1	1
GO_MYOBLAST_FUSION_INVOLVED_IN_SKELETAL_MUSCLE_REGENERATION	GO_MYOBLAST_FUSION_INVOLVED_IN_SKELETAL_MUSCLE_REGENERATION	1	1	1
GO_MYOTUBE_DIFFERENTIATION_INVOLVED_IN_SKELETAL_MUSCLE_REGENERATION	GO_MYOTUBE_DIFFERENTIATION_INVOLVED_IN_SKELETAL_MUSCLE_REGENERATION	1	1	1
GO_TAURINE_TRANSPORT	GO_TAURINE_TRANSPORT	1	1	1
GO_FRUCTOSE_TRANSMEMBRANE_TRANSPORT	GO_FRUCTOSE_TRANSMEMBRANE_TRANSPORT	1	1	1
GO_FORMATE_METABOLIC_PROCESS	GO_FORMATE_METABOLIC_PROCESS	1	1	1
GO_DIADENOSINE_POLYPHOSPHATE_METABOLIC_PROCESS	GO_DIADENOSINE_POLYPHOSPHATE_METABOLIC_PROCESS	1	1	1
GO_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT	GO_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT	1	1	1
GO_RHODOPSIN_MEDIATED_SIGNALING_PATHWAY	GO_RHODOPSIN_MEDIATED_SIGNALING_PATHWAY	1	1	1
GO_SNRNA_METABOLIC_PROCESS	GO_SNRNA_METABOLIC_PROCESS	1	1	1
GO_POLYPRENOL_METABOLIC_PROCESS	GO_POLYPRENOL_METABOLIC_PROCESS	1	1	1
GO_TERPENOID_CATABOLIC_PROCESS	GO_TERPENOID_CATABOLIC_PROCESS	1	1	1
GO_PHYTOSTEROID_METABOLIC_PROCESS	GO_PHYTOSTEROID_METABOLIC_PROCESS	1	1	1
GO_DOLICHOL_METABOLIC_PROCESS	GO_DOLICHOL_METABOLIC_PROCESS	1	1	1
GO_PYRIDINE_NUCLEOTIDE_METABOLIC_PROCESS	GO_PYRIDINE_NUCLEOTIDE_METABOLIC_PROCESS	1	1	1
GO_GALACTOLIPID_METABOLIC_PROCESS	GO_GALACTOLIPID_METABOLIC_PROCESS	1	1	1
GO_GLYCOLYTIC_FERMENTATION	GO_GLYCOLYTIC_FERMENTATION	1	1	1
GO_GDP_MANNOSE_METABOLIC_PROCESS	GO_GDP_MANNOSE_METABOLIC_PROCESS	1	1	1
GO_GLYCERALDEHYDE_3_PHOSPHATE_METABOLIC_PROCESS	GO_GLYCERALDEHYDE_3_PHOSPHATE_METABOLIC_PROCESS	1	1	1
GO_CHOLINE_METABOLIC_PROCESS	GO_CHOLINE_METABOLIC_PROCESS	1	1	1
GO_VESTIBULOCOCHLEAR_NERVE_FORMATION	GO_VESTIBULOCOCHLEAR_NERVE_FORMATION	1	1	1
GO_HEPARIN_METABOLIC_PROCESS	GO_HEPARIN_METABOLIC_PROCESS	1	1	1
